id,task_name,status,created_at,started_at,completed_at
42616fcf,Rozmowa telefoniczna #12,pending,2026-01-17 00:50:12,,
06ca8021,Rozmowa telefoniczna #13,pending,2026-01-17 00:50:12,,
06c0932f,Rozmowa telefoniczna #14,pending,2026-01-17 00:50:12,,
57527956,Rozmowa telefoniczna #15,pending,2026-01-17 00:50:12,,
f0e05066,Rozmowa telefoniczna #16,pending,2026-01-17 00:50:12,,
dd6e6a82,Rozmowa telefoniczna #17,pending,2026-01-17 00:50:12,,
6417736d,Rozmowa telefoniczna #18,pending,2026-01-17 00:50:12,,
4f9aed79,Rozmowa telefoniczna #19,pending,2026-01-17 00:50:12,,
bc975864,Rozmowa telefoniczna #20,pending,2026-01-17 00:50:12,,
062366a3,Rozmowa telefoniczna #21,pending,2026-01-17 00:50:13,,
d7df6a05,Rozmowa telefoniczna #22,pending,2026-01-17 00:50:13,,
77f8bf40,Rozmowa telefoniczna #23,pending,2026-01-17 00:50:13,,
d2462876,Rozmowa telefoniczna #24,pending,2026-01-17 00:50:13,,
b2dc2649,Rozmowa telefoniczna #25,pending,2026-01-17 00:50:13,,
b6a02d5d,Rozmowa telefoniczna #26,pending,2026-01-17 00:50:13,,
bce135e0,Rozmowa telefoniczna #27,pending,2026-01-17 00:50:13,,
af0b4028,Rozmowa telefoniczna #28,pending,2026-01-17 00:50:13,,
bb32ad70,Rozmowa telefoniczna #29,pending,2026-01-17 00:50:13,,
de5daacb,Rozmowa telefoniczna #30,pending,2026-01-17 00:50:13,,
e69e5929,Rozmowa telefoniczna #31,pending,2026-01-17 00:50:13,,
52cdfe63,Rozmowa telefoniczna #32,pending,2026-01-17 00:50:13,,
2a36b308,Rozmowa telefoniczna #33,pending,2026-01-17 00:50:13,,
de0cc643,Rozmowa telefoniczna #34,pending,2026-01-17 00:50:13,,
97e8db92,Rozmowa telefoniczna #35,pending,2026-01-17 00:50:13,,
dedb49d5,Rozmowa telefoniczna #36,pending,2026-01-17 00:50:13,,
267a779f,Rozmowa telefoniczna #37,pending,2026-01-17 00:50:13,,
c3ac9be6,Rozmowa telefoniczna #38,pending,2026-01-17 00:50:13,,
f787fc68,Rozmowa telefoniczna #39,pending,2026-01-17 00:50:13,,
9f650727,Rozmowa telefoniczna #40,pending,2026-01-17 00:50:13,,
3cd4f641,Rozmowa telefoniczna #41,pending,2026-01-17 00:50:13,,
0c2fc6c0,Rozmowa telefoniczna #42,pending,2026-01-17 00:50:13,,
b1475fb3,Rozmowa telefoniczna #43,pending,2026-01-17 00:50:13,,
bdba9fd7,Rozmowa telefoniczna #44,pending,2026-01-17 00:50:13,,
8c466db3,Rozmowa telefoniczna #45,pending,2026-01-17 00:50:13,,
8bd89472,Rozmowa telefoniczna #46,pending,2026-01-17 00:50:13,,
5fdd2e77,Rozmowa telefoniczna #47,pending,2026-01-17 00:50:13,,
f71e5167,Rozmowa telefoniczna #48,pending,2026-01-17 00:50:13,,
59af5b16,Rozmowa telefoniczna #49,pending,2026-01-17 00:50:13,,
0c10e419,Rozmowa telefoniczna #50,pending,2026-01-17 00:50:13,,
7e939c07,Rozmowa telefoniczna #51,pending,2026-01-17 00:50:13,,
957bf2bf,Rozmowa telefoniczna #52,pending,2026-01-17 00:50:13,,
a447d41b,Rozmowa telefoniczna #53,pending,2026-01-17 00:50:13,,
f7479b3e,Rozmowa telefoniczna #54,pending,2026-01-17 00:50:13,,
a760240e,Rozmowa telefoniczna #55,pending,2026-01-17 00:50:13,,
4b49311c,Rozmowa telefoniczna #56,pending,2026-01-17 00:50:13,,
cd387d6f,Rozmowa telefoniczna #57,pending,2026-01-17 00:50:13,,
7f8356ad,Rozmowa telefoniczna #58,pending,2026-01-17 00:50:13,,
cf0698ef,Rozmowa telefoniczna #59,pending,2026-01-17 00:50:13,,
3533f344,Rozmowa telefoniczna #60,pending,2026-01-17 00:50:13,,
4c691e92,Rozmowa telefoniczna #61,pending,2026-01-17 00:50:13,,
e7a6b479,Rozmowa telefoniczna #62,pending,2026-01-17 00:50:13,,
bbe2d05d,Rozmowa telefoniczna #63,pending,2026-01-17 00:50:13,,
6215579e,Rozmowa telefoniczna #64,pending,2026-01-17 00:50:13,,
a18ef1af,Rozmowa telefoniczna #65,pending,2026-01-17 00:50:13,,
a54a8f8c,Rozmowa telefoniczna #66,pending,2026-01-17 00:50:13,,
f71fc57e,Rozmowa telefoniczna #67,pending,2026-01-17 00:50:13,,
d7b3c7eb,Rozmowa telefoniczna #68,pending,2026-01-17 00:50:13,,
45c18274,Rozmowa telefoniczna #69,pending,2026-01-17 00:50:13,,
62ce19f7,Rozmowa telefoniczna #70,pending,2026-01-17 00:50:13,,
b314c7fd,Rozmowa telefoniczna #71,pending,2026-01-17 00:50:13,,
38116331,Rozmowa telefoniczna #72,pending,2026-01-17 00:50:13,,
6d897c35,Rozmowa telefoniczna #73,pending,2026-01-17 00:50:13,,
f345d75f,Rozmowa telefoniczna #74,pending,2026-01-17 00:50:13,,
61d66d0e,Rozmowa telefoniczna #75,pending,2026-01-17 00:50:13,,
fa050381,Rozmowa telefoniczna #76,pending,2026-01-17 00:50:13,,
ab3607bd,Rozmowa telefoniczna #77,pending,2026-01-17 00:50:13,,
4e995a01,Rozmowa telefoniczna #78,pending,2026-01-17 00:50:13,,
1afa7dac,Rozmowa telefoniczna #79,pending,2026-01-17 00:50:13,,
8c4859f4,Rozmowa telefoniczna #80,pending,2026-01-17 00:50:13,,
6a906276,Rozmowa telefoniczna #81,pending,2026-01-17 00:50:13,,
32823496,Rozmowa telefoniczna #82,pending,2026-01-17 00:50:13,,
bbebbf3e,Rozmowa telefoniczna #83,pending,2026-01-17 00:50:13,,
27be0a13,Rozmowa telefoniczna #84,pending,2026-01-17 00:50:13,,
95fbce9d,Rozmowa telefoniczna #85,pending,2026-01-17 00:50:13,,
f22179ce,Rozmowa telefoniczna #86,pending,2026-01-17 00:50:13,,
93fccf7f,Rozmowa telefoniczna #87,pending,2026-01-17 00:50:13,,
56274a44,Rozmowa telefoniczna #88,pending,2026-01-17 00:50:13,,
d5565b6f,Rozmowa telefoniczna #89,pending,2026-01-17 00:50:13,,
2dcf36a4,Rozmowa telefoniczna #90,pending,2026-01-17 00:50:13,,
d700a068,Rozmowa telefoniczna #91,pending,2026-01-17 00:50:13,,
b10ece6a,Rozmowa telefoniczna #92,pending,2026-01-17 00:50:13,,
dac6c746,Rozmowa telefoniczna #93,pending,2026-01-17 00:50:13,,
1a27defc,Rozmowa telefoniczna #94,pending,2026-01-17 00:50:13,,
d9977e41,Rozmowa telefoniczna #95,pending,2026-01-17 00:50:13,,
580cad1b,Rozmowa telefoniczna #96,pending,2026-01-17 00:50:13,,
c7769798,Rozmowa telefoniczna #97,pending,2026-01-17 00:50:13,,
2b452a34,Rozmowa telefoniczna #98,pending,2026-01-17 00:50:13,,
d324ed14,Rozmowa telefoniczna #99,pending,2026-01-17 00:50:13,,
2b638e36,Rozmowa telefoniczna #100,pending,2026-01-17 00:50:13,,
